,Session 1,Session 2,Session 3,Virtual Attendee
43,The Future of Work: What You Need to Know to Navigate this Brave New World,Architecting for a Sustainable Cloud Future,Modern Portfolio Management,False
44,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Architecting for a Sustainable Cloud Future,True
45,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Environmental Impact @ Slalom with Net Zero Cloud,True
46,The Future of Work: What You Need to Know to Navigate this Brave New World,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Architecting for a Sustainable Cloud Future,False
47,Service Design: A Framework for Practical Collaboration,Build a Bot Using PowerAutomate,Modern Portfolio Management,False
48,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,Build a Bot Using PowerAutomate,False
49,Shaping the Future Through Inspiration and Innovation,Fusion Development with the Microsoft Power Platform,Low Code – Meeting User Needs While Also Being Fast and Lean,True
50,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,False
51,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,ESG 101,False
52,Modern Portfolio Management,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,False
53,Build a Bot Using PowerAutomate,Service Design: A Framework for Practical Collaboration,Fusion Development with the Microsoft Power Platform,True
54,Shaping the Future Through Inspiration and Innovation,ESG 101,Environmental Impact @ Slalom with Net Zero Cloud,False
55,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Modern Portfolio Management,Architecting for a Sustainable Cloud Future,False
56,Build a Bot Using PowerAutomate,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,True
57,Shaping the Future Through Inspiration and Innovation,Low Code – Meeting User Needs While Also Being Fast and Lean,ESG 101,True
58,Modern Portfolio Management,Architecting for a Sustainable Cloud Future,Fusion Development with the Microsoft Power Platform,True
59,The Future of Work: What You Need to Know to Navigate this Brave New World,Service Design: A Framework for Practical Collaboration,Low Code – Meeting User Needs While Also Being Fast and Lean,False
60,ESG 101,Modern Portfolio Management,Build a Bot Using PowerAutomate,False
61,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,True
62,Service Design: A Framework for Practical Collaboration,Environmental Impact @ Slalom with Net Zero Cloud,Architecting for a Sustainable Cloud Future,False
63,Fusion Development with the Microsoft Power Platform,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,False
64,Modern Portfolio Management,ESG 101,Architecting for a Sustainable Cloud Future,False
65,Service Design: A Framework for Practical Collaboration,ESG 101,Modern Portfolio Management,False
66,ESG 101,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
67,Service Design: A Framework for Practical Collaboration,Fusion Development with the Microsoft Power Platform,Modern Portfolio Management,True
68,Modern Portfolio Management,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,False
69,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,Environmental Impact @ Slalom with Net Zero Cloud,True
70,Environmental Impact @ Slalom with Net Zero Cloud,Architecting for a Sustainable Cloud Future,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
71,Architecting for a Sustainable Cloud Future,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,False
72,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,False
73,Shaping the Future Through Inspiration and Innovation,Environmental Impact @ Slalom with Net Zero Cloud,Architecting for a Sustainable Cloud Future,False
74,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
75,Fusion Development with the Microsoft Power Platform,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Environmental Impact @ Slalom with Net Zero Cloud,False
76,ESG 101,Low Code – Meeting User Needs While Also Being Fast and Lean,Environmental Impact @ Slalom with Net Zero Cloud,True
77,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,ESG 101,False
78,ESG 101,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,True
79,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,False
80,ESG 101,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,True
81,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,The Future of Work: What You Need to Know to Navigate this Brave New World,True
82,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,Low Code – Meeting User Needs While Also Being Fast and Lean,False
83,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,ESG 101,Architecting for a Sustainable Cloud Future,False
84,Shaping the Future Through Inspiration and Innovation,Architecting for a Sustainable Cloud Future,Modern Portfolio Management,True
85,Shaping the Future Through Inspiration and Innovation,Service Design: A Framework for Practical Collaboration,Build a Bot Using PowerAutomate,False
86,Shaping the Future Through Inspiration and Innovation,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,False
87,Shaping the Future Through Inspiration and Innovation,ESG 101,Environmental Impact @ Slalom with Net Zero Cloud,True
88,Architecting for a Sustainable Cloud Future,Low Code – Meeting User Needs While Also Being Fast and Lean,Service Design: A Framework for Practical Collaboration,False
89,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,Low Code – Meeting User Needs While Also Being Fast and Lean,False
90,Modern Portfolio Management,Architecting for a Sustainable Cloud Future,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
91,Low Code – Meeting User Needs While Also Being Fast and Lean,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,True
92,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
93,Build a Bot Using PowerAutomate,Architecting for a Sustainable Cloud Future,The Future of Work: What You Need to Know to Navigate this Brave New World,True
94,Low Code – Meeting User Needs While Also Being Fast and Lean,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,False
96,ESG 101,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,False
97,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
98,Service Design: A Framework for Practical Collaboration,Architecting for a Sustainable Cloud Future,Modern Portfolio Management,True
99,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,Fusion Development with the Microsoft Power Platform,True
100,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,ESG 101,True
101,Service Design: A Framework for Practical Collaboration,Architecting for a Sustainable Cloud Future,The Future of Work: What You Need to Know to Navigate this Brave New World,True
102,Build a Bot Using PowerAutomate,Modern Portfolio Management,Architecting for a Sustainable Cloud Future,True
103,Shaping the Future Through Inspiration and Innovation,ESG 101,Modern Portfolio Management,False
105,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Modern Portfolio Management,Service Design: A Framework for Practical Collaboration,False
106,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
107,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
108,Environmental Impact @ Slalom with Net Zero Cloud,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,False
109,Architecting for a Sustainable Cloud Future,Environmental Impact @ Slalom with Net Zero Cloud,Low Code – Meeting User Needs While Also Being Fast and Lean,False
110,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Build a Bot Using PowerAutomate,Modern Portfolio Management,False
111,Shaping the Future Through Inspiration and Innovation,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Environmental Impact @ Slalom with Net Zero Cloud,False
112,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,Service Design: A Framework for Practical Collaboration,False
113,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,False
114,Shaping the Future Through Inspiration and Innovation,Service Design: A Framework for Practical Collaboration,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
115,Environmental Impact @ Slalom with Net Zero Cloud,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,False
116,Shaping the Future Through Inspiration and Innovation,Low Code – Meeting User Needs While Also Being Fast and Lean,The Future of Work: What You Need to Know to Navigate this Brave New World,False
117,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
118,Service Design: A Framework for Practical Collaboration,ESG 101,Modern Portfolio Management,False
119,Fusion Development with the Microsoft Power Platform,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Shaping the Future Through Inspiration and Innovation,False
120,Modern Portfolio Management,ESG 101,Low Code – Meeting User Needs While Also Being Fast and Lean,True
121,Shaping the Future Through Inspiration and Innovation,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,False
122,The Future of Work: What You Need to Know to Navigate this Brave New World,Build a Bot Using PowerAutomate,Environmental Impact @ Slalom with Net Zero Cloud,False
123,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,Architecting for a Sustainable Cloud Future,False
124,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,Low Code – Meeting User Needs While Also Being Fast and Lean,False
125,Service Design: A Framework for Practical Collaboration,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,False
126,Shaping the Future Through Inspiration and Innovation,ESG 101,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
127,Modern Portfolio Management,Fusion Development with the Microsoft Power Platform,Low Code – Meeting User Needs While Also Being Fast and Lean,False
129,Service Design: A Framework for Practical Collaboration,Environmental Impact @ Slalom with Net Zero Cloud,The Future of Work: What You Need to Know to Navigate this Brave New World,False
130,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,False
131,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,The Future of Work: What You Need to Know to Navigate this Brave New World,False
132,Architecting for a Sustainable Cloud Future,Build a Bot Using PowerAutomate,Modern Portfolio Management,False
133,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,False
134,Low Code – Meeting User Needs While Also Being Fast and Lean,ESG 101,Build a Bot Using PowerAutomate,False
135,Shaping the Future Through Inspiration and Innovation,Architecting for a Sustainable Cloud Future,ESG 101,True
136,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,ESG 101,True
137,ESG 101,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
139,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,ESG 101,Architecting for a Sustainable Cloud Future,True
143,Low Code – Meeting User Needs While Also Being Fast and Lean,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
144,The Future of Work: What You Need to Know to Navigate this Brave New World,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,False
145,Service Design: A Framework for Practical Collaboration,ESG 101,Build a Bot Using PowerAutomate,False
146,Environmental Impact @ Slalom with Net Zero Cloud,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Architecting for a Sustainable Cloud Future,False
147,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,ESG 101,The Future of Work: What You Need to Know to Navigate this Brave New World,True
148,Low Code – Meeting User Needs While Also Being Fast and Lean,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
149,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,False
152,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,False
153,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,The Future of Work: What You Need to Know to Navigate this Brave New World,False
159,Modern Portfolio Management,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Architecting for a Sustainable Cloud Future,False
160,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,Service Design: A Framework for Practical Collaboration,False
162,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,False
163,ESG 101,Environmental Impact @ Slalom with Net Zero Cloud,Architecting for a Sustainable Cloud Future,False
164,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Modern Portfolio Management,ESG 101,True
165,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,False
168,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,False
169,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,Fusion Development with the Microsoft Power Platform,True
170,Architecting for a Sustainable Cloud Future,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,False
172,Modern Portfolio Management,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,True
173,Environmental Impact @ Slalom with Net Zero Cloud,Modern Portfolio Management,Architecting for a Sustainable Cloud Future,False
175,Service Design: A Framework for Practical Collaboration,Low Code – Meeting User Needs While Also Being Fast and Lean,Shaping the Future Through Inspiration and Innovation,False
176,The Future of Work: What You Need to Know to Navigate this Brave New World,ESG 101,Shaping the Future Through Inspiration and Innovation,False
177,The Future of Work: What You Need to Know to Navigate this Brave New World,Low Code – Meeting User Needs While Also Being Fast and Lean,Modern Portfolio Management,False
178,Modern Portfolio Management,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,False
179,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,Architecting for a Sustainable Cloud Future,False
180,Service Design: A Framework for Practical Collaboration,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,False
181,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,True
182,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,False
183,ESG 101,Low Code – Meeting User Needs While Also Being Fast and Lean,Modern Portfolio Management,False
184,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,The Future of Work: What You Need to Know to Navigate this Brave New World,False
185,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,The Future of Work: What You Need to Know to Navigate this Brave New World,True
186,Service Design: A Framework for Practical Collaboration,ESG 101,Shaping the Future Through Inspiration and Innovation,False
187,Service Design: A Framework for Practical Collaboration,Low Code – Meeting User Needs While Also Being Fast and Lean,Modern Portfolio Management,False
188,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,False
189,Build a Bot Using PowerAutomate,ESG 101,The Future of Work: What You Need to Know to Navigate this Brave New World,True
190,The Future of Work: What You Need to Know to Navigate this Brave New World,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,False
191,Shaping the Future Through Inspiration and Innovation,Service Design: A Framework for Practical Collaboration,Environmental Impact @ Slalom with Net Zero Cloud,True
192,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,False
193,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,Environmental Impact @ Slalom with Net Zero Cloud,False
194,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,False
195,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,Low Code – Meeting User Needs While Also Being Fast and Lean,True
196,Architecting for a Sustainable Cloud Future,Low Code – Meeting User Needs While Also Being Fast and Lean,Service Design: A Framework for Practical Collaboration,False
197,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,Build a Bot Using PowerAutomate,False
198,The Future of Work: What You Need to Know to Navigate this Brave New World,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,True
199,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,False
200,Service Design: A Framework for Practical Collaboration,Architecting for a Sustainable Cloud Future,Modern Portfolio Management,True
201,Build a Bot Using PowerAutomate,Modern Portfolio Management,Environmental Impact @ Slalom with Net Zero Cloud,True
202,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,False
203,Build a Bot Using PowerAutomate,Architecting for a Sustainable Cloud Future,Environmental Impact @ Slalom with Net Zero Cloud,False
204,Build a Bot Using PowerAutomate,Service Design: A Framework for Practical Collaboration,Architecting for a Sustainable Cloud Future,True
205,Low Code – Meeting User Needs While Also Being Fast and Lean,Modern Portfolio Management,Build a Bot Using PowerAutomate,False
206,Modern Portfolio Management,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,False
207,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,True
208,Modern Portfolio Management,Environmental Impact @ Slalom with Net Zero Cloud,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
210,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,ESG 101,Modern Portfolio Management,True
211,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,False
212,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,Environmental Impact @ Slalom with Net Zero Cloud,True
213,Shaping the Future Through Inspiration and Innovation,Service Design: A Framework for Practical Collaboration,The Future of Work: What You Need to Know to Navigate this Brave New World,False
214,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Architecting for a Sustainable Cloud Future,Environmental Impact @ Slalom with Net Zero Cloud,True
215,Service Design: A Framework for Practical Collaboration,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,False
216,Modern Portfolio Management,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,False
217,Fusion Development with the Microsoft Power Platform,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,False
218,Low Code – Meeting User Needs While Also Being Fast and Lean,Fusion Development with the Microsoft Power Platform,The Future of Work: What You Need to Know to Navigate this Brave New World,False
220,Modern Portfolio Management,Build a Bot Using PowerAutomate,Fusion Development with the Microsoft Power Platform,False
221,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Environmental Impact @ Slalom with Net Zero Cloud,True
222,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,False
223,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,Low Code – Meeting User Needs While Also Being Fast and Lean,False
224,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,True
225,The Future of Work: What You Need to Know to Navigate this Brave New World,Shaping the Future Through Inspiration and Innovation,ESG 101,False
226,ESG 101,Shaping the Future Through Inspiration and Innovation,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,False
227,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,False
228,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Fusion Development with the Microsoft Power Platform,Environmental Impact @ Slalom with Net Zero Cloud,True
230,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,True
231,Environmental Impact @ Slalom with Net Zero Cloud,Architecting for a Sustainable Cloud Future,Fusion Development with the Microsoft Power Platform,False
232,Architecting for a Sustainable Cloud Future,Build a Bot Using PowerAutomate,Low Code – Meeting User Needs While Also Being Fast and Lean,False
233,Modern Portfolio Management,ESG 101,The Future of Work: What You Need to Know to Navigate this Brave New World,True
234,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,False
235,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,Build a Bot Using PowerAutomate,False
236,Shaping the Future Through Inspiration and Innovation,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,False
237,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,Shaping the Future Through Inspiration and Innovation,False
238,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,False
239,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Modern Portfolio Management,The Future of Work: What You Need to Know to Navigate this Brave New World,True
240,Build a Bot Using PowerAutomate,Shaping the Future Through Inspiration and Innovation,Fusion Development with the Microsoft Power Platform,True
242,Modern Portfolio Management,Energy Demand Nowcasting: How Machine Learning can Help Unlock ESG Enablement,Build a Bot Using PowerAutomate,False
244,Service Design: A Framework for Practical Collaboration,Architecting for a Sustainable Cloud Future,Low Code – Meeting User Needs While Also Being Fast and Lean,False
245,Fusion Development with the Microsoft Power Platform,Shaping the Future Through Inspiration and Innovation,Build a Bot Using PowerAutomate,False
246,Low Code – Meeting User Needs While Also Being Fast and Lean,Architecting for a Sustainable Cloud Future,Fusion Development with the Microsoft Power Platform,True
247,The Future of Work: What You Need to Know to Navigate this Brave New World,Modern Portfolio Management,Fusion Development with the Microsoft Power Platform,True
248,Service Design: A Framework for Practical Collaboration,Shaping the Future Through Inspiration and Innovation,Modern Portfolio Management,False
249,Service Design: A Framework for Practical Collaboration,Modern Portfolio Management,Low Code – Meeting User Needs While Also Being Fast and Lean,False
